,author,stars,date,text
0,Emily S.,"I ordered through eat24 and my order was suppose to be delivered to me by 8:30... My order did not come until 9:10 and I ordered my dinner at 7:45... I even called the restaurant at 8:45 and the lady said oh we just sent the delivery guy out he should be there in 10 min which became 20min later... My order consisted of 2 bowls of ramen, one for me and one for a friend, 2 order of sushi rolls and seaweed salad. Seaweed salad was ok, but the rolls... $4 for one roll each and it was those hand rolls I one seaweed... Not a long one cut into pieces... They weren't that big either... What a rip off... Next up, the ramen... Ok ramen is better fresh and not delivered ok, but the soup didn't even have flavor and I asked for spicy on both and it wasn't even spicy. The noddles tasted like instant noodles and the texture felt like that too. It was all clumped up together even when I poured my soup in it... Bad delivery and estimated time and no flavor in the soup and what a rip off on the sushi
",2016-03-11,2.0
21,Fabian F.,"So ordered for the first time. Right on time delivery. My bro housemate way passed out on the stoop. Delivery guy helped me carry a 6'5, 250lbs to his bedroom. Without question, and concerned. 
This is why I love SF. 
The food was awesome too.
",2018-09-30,5.0
22,Dan O.,"1hour and 50minutes for delivery.

It was practically time for the next meal by the time this one came.

We have been disappointed multiple times by the absolutely terrible delivery service from these guys.  Maybe its ok in their restaurant... but whatever you do, don't use them for delivery.  (they should just terminate doing deliveries... that is how bad they are.)
",2018-09-11,1.0
23,Nichole H.,"We frequent this spot. It's pretty good for a quick bite. Not amazing place but it does the trick
If you are in the mood for sushi!
",2018-12-07,4.0
24,Kristina M.,"My friend and I decided to eat sushi for dinner. I ordered the Bento Box ($12) with an Avocado/Cucumber Roll (6 pieces) and Veggie Tempura (5 pieces). I also checked in and got free edamame. Edamame was originally $4.50. My friend ordered the Sushi Combo F ($16.50).

I thought the edamame was really good. The size was pretty decent even though we got it for free by checking into Yelp. Even if it was $4.50, it would have been a really good deal. It was warm and soft enough to bite into it. The miso soup that came with my order was warm as well. My bento box was good and large. The tempura was very crunchy and consisted of yam (3 pieces), broccoli, and a carrot piece. 

My friend was able to ask for extra wasabi for free. 

The waiter checked in with us and asked if our food was good. 

I will say that both of our meals were a little bit on the expensive side. 

The place can be a little loud. We sat next to a TV and it was showing something violent that was on TNT. There was one man who was pulling another man's intestines out and he was screaming. It was very gross and I tried not to look at the screen. Other than that, the overall experience was good.

Note: There is a minimum $10 credit card charge and you can only use a maximum of 2 credit cards per table.
",2017-07-14,4.0
25,Taylor D.,"This place has become one of our favorite sushi spits. It's cheap, it's fast, it's conveniently located, and the food is pretty damn good. 

The inside is nothing fancy. They only have 5 tables in the whole restaurant. But, the fast and friendly service makes up for the cramped vibe you may get while dining here.

My go-to is the curashi Dan sashimi combo, 17$. It is 12-15 slices of sashimi (depending on what fresh fish the chef's have available, and how thick the chef slices the fish), atop a bed of sushi rice with a side if seaweed salad and a cup of miso soup! My boyfriend and I have had several of the rolls on their menu, all if which have been pretty good. Their hand rolls (Maki) are an amazing value - usually 5-7$ and it's just as much fish as the regular rolls, just a little harder to eat. 

The sake menu here is pretty great too - most of their sake bottles are between 10-15$ and you'll get 12-16 shots out of it! Their happy hour is okay - nothing special... But their wine is a little cheaper and there are a few appetizers included. 

We will continue to eat here when we are craving sushi in North beach!
",2017-08-06,4.0
26,JP V.,"I've been here several times. The ramen is really good! Also tried a few sushi rolls. Not really sure why there are some bad reviews. I've never had a bad experience. I eat in or get delivery sometimes
",2019-04-22,5.0
27,Taylor E.,"3 stars for customer service. Point blank, it sucks. The asian gal who worked the day shift during lunch is very rude. A smile can go a long way.

Sushi is THE BEST though. Highly recommend
",2018-09-19,3.0
28,Yana P.,"If it's chilly outside and you're sitting in the middle you're going to get a cold draft. Pretty cool if you check in Facebook or yelp then they give you option of free edamame, soda, miso soup. The Ramen was okay, noodles were very stuck together so making it difficult to pickup a few noodles. It was more of picking up a ball. U2 roll was delish
",2018-03-02,3.0
29,Kaiyan Z.,"Best everyday delivery food - I think I ordered 50+ times from this place and prob went there 15+ times physically. Can never get tired of their broadway roll, cherry blossom roll, 49er roll, ramen, beef donburi, chirashi don, uni spoon, Takoyaki, lamb chop, etc. I tend to order my food repetitively if I like them, so I've not yet tried other dishes!!
",2019-02-01,5.0
